Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
71;"#AUTUMN RUSSISCHE BONDINGS GLATT 1G";600;24;1711;14;10
72;"#COOL TONED - INVISIBLE CLIP EXTENSIONS - BALAYAGE MITTELASCHBRAUN ♡ › 150g";600;4;878;1;3
73;"#NORVEGIAN MINI TAPE EXTENSIONS RU GLATT ♡";600;12;1726;4;8
74;"#2E DUNKELBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM";600;12;1320;0;12
75;"#3A KÜHLES  MITTELBRAUN US WELLIGE TAPE EXTENSIONS 65CM ♡";575;23;1099;14;9
76;"#MACADAMIA GLOW STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";575;23;1668;0;23
77;"#2E DUNKELBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";550;11;1065;6;5
78;"#EBONY MINI TAPE EXTENSIONS RU GLATT - TIEFSCHWARZ ♡";550;11;1581;1;10
79;"#MOCHA MELT BRAUNE BALAYAGE US WELLIGE TAPE EXTENSIONS 65CM ♡";525;21;1015;8;13
80;"#5M/SILVER  US WELLIGE TAPE EXTENSIONS 65CM ♡";525;21;965;21;0
81;"#NATURAL PONYTAIL 130G - 65CM › 130 g";520;4;778;3;1
82;"#MOCHAMELT STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";500;20;1421;8;12
83;"#COOL TONED MINI TAPE EXTENSIONS RU GLATT ♡";500;10;1378;7;3
84;"#NATURAL US WELLIGE TAPE 85CM ♡";500;20;1330;5;15
85;"#6 HASELNUSSBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";475;19;905;12;7
86;"#2T18A US WELLIGE KERATIN BONDINGS OMRBÉ KÜHLES BLOND 65CM ♡";475;19;920;8;11
87;"#NORVEGIAN KÜHLES BLOND US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";450;9;946;4;5
88;"#PLATIN STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";450;18;1356;8;10
89;"#FAWN MINI TAPE EXTENSIONS RU GLATT ♡";450;9;1276;5;4
90;"#2A ASCHBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";450;9;816;8;1
91;"#1A SCHWARZE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";450;9;886;2;7
92;"#SHINY - INVISIBLE CLIP EXTENSIONS - LICHTBLOND ASCH ♡ › 225g";450;2;627;1;1
93;"#TOFFEE - INVISIBLE CLIP EXTENSIONS ♡ › 225g";450;2;627;1;1
94;"#DESERT - INVISIBLE CLIP EXTENSIONS - OMBRES HELLBRAUN UND HELLBLOND GOLD ♡ › 225g";450;2;660;0;2
95;"#DIRTY BLOND STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";450;18;1291;2;16
96;"#SHINY - INVISIBLE CLIP EXTENSIONS - LICHTBLOND ASCH ♡ › 150g";450;3;653;1;2
97;"#RAW RUSSISCHE BONDINGS GLATT 1G";425;17;1233;12;5
98;"#SOFT BLOND BALAYAGE US WELLIGE KERATIN BONDINGS GESTRÄHNT BALAYAGE 65CM ♡";425;17;826;8;9
99;"#FROSTY STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";425;17;1182;7;10
100;"#5P18A 45CM TAPE EXTENSIONS ♡";400;16;685;8;8
101;"#5P18A GESTRÄHNTE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";400;8;836;5;3
102;"#SHINY MINI TAPE EXTENSIONS RU GLATT ♡";400;8;1102;4;4
103;"#COOL TONED GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";400;8;1482;5;3
104;"#BERGEN BLOND 45CM  TAPE EXTENSIONS  ♡";400;16;716;0;16
105;"#4 SAMTBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";400;16;728;9;7
106;"#NATURAL US WELLIGE  BONDINGS 85CM ♡";400;16;986;16;0
107;"#5T18A ASCHBLOND OMBRÉ US WELLIGE TRESSEN ECHTHAAR  GENIUS WEFT EXTENSIONS 65CM♡";400;8;847;6;2
108;"#5MSILVER US WELLIGE KERATIN BONDINGS HONIGBLOND 65CM ♡";400;16;796;7;9
109;"#PEARL WHITE WEIßBLOND US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";400;8;891;1;7
110;"#5A KÜHLES HELLBRAUN  US WELLIGE TAPE EXTENSIONS 45CM♡";375;15;662;3;12
111;"#PINK US WELLIGE TAPE EXTENSIONS 65CM ♡";375;15;706;8;7
112;"#CARAMEL FUDGE RUSSISCHE BONDINGS GLATT 1G";375;15;1088;7;8
113;"#DESERT RUSSISCHE BONDINGS GLATT 1G";375;15;1088;0;15
114;"#3T8A US WELLIGE TAPE EXTENSIONS 65CM ♡";350;14;642;14;0
115;"#5P18A GESTRÄHNTE  US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";350;7;677;2;5
116;"#SILVER US WELLIGE KERATIN BONDINGS ASCHBLOND 65CM ♡";350;14;657;12;2
117;"#5M/SILVER  US WELLIGE TAPE EXTENSIONS 55CM ♡";350;14;633;6;8
118;"#SOFT BLOND BALAYAGE 45CM TAPE EXTENSIONS♡";350;14;627;0;14
119;"#SOFT-BLOND-BALAYAGE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";350;7;759;1;6
120;"#HONEY MINI TAPE EXTENSIONS RU GLATT ♡";350;7;1001;5;2
121;"#5A HELLBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM ♡";350;7;748;3;4
122;"#DUBAI MINI TAPE EXTENSIONS";350;7;957;4;3
123;"#99J DUNKLE KIRSCHE US WELLIGETAPE EXTENSIONS 65CM ♡";350;14;657;8;6
124;"#NATURAL SCHWARZBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";350;7;687;1;6
125;"#COOL TONED RUSSISCHE BONDINGS GLATT 1G";350;14;1015;8;6
126;"TRESSEN #COOL TONED BALAYAGE MITTELASCHBRAUN RU GLATT CLASSIC WEFT ♡";350;7;1015;0;7
127;"#DUBAI STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";325;13;906;12;1
128;"#VIKING BLOND  US WELLIGE 45CM TAPE EXTENSIONS ♡";325;13;568;9;4
129;"#60 PLATINBLONDE  US WELLIGE TAPE EXTENSIONS 55CM ♡";325;13;671;11;2
130;"#NORVEGIAN RUSSISCHE BONDINGS GLATT 1G";325;13;935;3;10
131;"#2  SCHOKOBRAUN US WELLIGE KERATIN BONDINGS 65CM SCHOKOBRAUN ♡";325;13;647;2;11
132;"#SHINY RUSSISCHE BONDINGS GLATT 1G";325;13;943;5;8
133;"#DUBAI 45CM  TAPE EXTENSIONS ♡";325;13;541;11;2
134;"#3A MITTELASCHBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT 65CM ♡";300;6;616;4;2
135;"#PEARL WHITE GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";300;6;1131;6;0
136;"#AUTUMN MINI TAPE EXTENSIONS RU GLATT - MITTELBRAUN ♡";300;6;856;1;5
137;"#5A HELLBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";300;6;567;3;3
