Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
72;"#4 SAMTBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";400;16;728;9;7
73;"#NATURAL US WELLIGE  BONDINGS 85CM ♡";400;16;986;16;0
74;"#5T18A ASCHBLOND OMBRÉ US WELLIGE TRESSEN ECHTHAAR  GENIUS WEFT EXTENSIONS 65CM♡";400;8;847;6;2
75;"#5MSILVER US WELLIGE KERATIN BONDINGS HONIGBLOND 65CM ♡";400;16;796;7;9
76;"#PEARL WHITE WEIßBLOND US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";400;8;891;1;7
77;"#5A KÜHLES HELLBRAUN  US WELLIGE TAPE EXTENSIONS 45CM♡";375;15;662;3;12
78;"#PINK US WELLIGE TAPE EXTENSIONS 65CM ♡";375;15;706;8;7
79;"#3T8A US WELLIGE TAPE EXTENSIONS 65CM ♡";350;14;642;14;0
80;"#5P18A GESTRÄHNTE  US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";350;7;677;2;5
81;"#SILVER US WELLIGE KERATIN BONDINGS ASCHBLOND 65CM ♡";350;14;657;12;2
82;"#5M/SILVER  US WELLIGE TAPE EXTENSIONS 55CM ♡";350;14;633;6;8
83;"#SOFT BLOND BALAYAGE 45CM TAPE EXTENSIONS♡";350;14;627;0;14
84;"#SOFT-BLOND-BALAYAGE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";350;7;759;1;6
85;"#5A HELLBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM ♡";350;7;748;3;4
86;"#DUBAI MINI TAPE EXTENSIONS";350;7;957;4;3
87;"#99J DUNKLE KIRSCHE US WELLIGETAPE EXTENSIONS 65CM ♡";350;14;657;8;6
88;"#NATURAL SCHWARZBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";350;7;687;1;6
89;"#VIKING BLOND  US WELLIGE 45CM TAPE EXTENSIONS ♡";325;13;568;9;4
90;"#60 PLATINBLONDE  US WELLIGE TAPE EXTENSIONS 55CM ♡";325;13;671;11;2
91;"#2  SCHOKOBRAUN US WELLIGE KERATIN BONDINGS 65CM SCHOKOBRAUN ♡";325;13;647;2;11
92;"#DUBAI 45CM  TAPE EXTENSIONS ♡";325;13;541;11;2
93;"#3A MITTELASCHBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT 65CM ♡";300;6;616;4;2
94;"#5A HELLBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";300;6;567;3;3
